,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,0.09362861855607191,-0.17449753920466243,-0.6336535458462157,0.9471866769372894,-0.24522319011620347,-0.5203427388885274,-0.3188186333370321,-0.1708687637981975,-0.495378213115226,0.5570044972293785,-0.08704792550059777
Split2,-0.24957989466230546,-0.1372681478583677,-0.2410638784992717,0.6451977784842695,-0.39709854555506996,-0.5580919404452324,-0.35020218720222157,-0.22398642379931855,-0.29443611082363813,0.6963004114308369,-0.026441958141073682
Split3,-0.2141195405001844,0.14814414191665995,-0.1733849638175857,1.0200488515616308,-0.7012751112805382,-0.625275266936558,-0.4776209908755279,-0.36905440466421585,-0.6861272445385173,0.7651584288142667,-0.11154119491326477
Split4,-0.3374143315105772,0.07144652240019968,-0.8152288445268816,0.9068162612515785,-0.5342866122225151,-0.3802326094247648,-0.6431400421066573,0.3252908795992594,-0.7395223096674185,0.6829301463374613,0.07452456683794847
Split5,-0.33297279432521953,-0.15720402802194716,-0.42186276293610997,0.7826850702579968,-0.5527815495952703,-0.8058943759259056,-0.1647042163343758,-0.13541197961818643,-0.28492580850002147,0.6681002906755692,-0.02010060915862173
