,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,7.4486820171573935,7.604307635240369,7.707758100046186,5.579547269222498,13.11943803385799,10.009974389822647,7.042601666212575,4.059840122549258,5.975549102673701,18.681920350439036,12.770381312778358
Split2,4.568078476202301,8.142722606388784,9.547948909512545,6.6042614385081535,11.452871264488127,8.092465655328215,9.178054188196445,4.7998810534141265,5.000748482395473,21.480274119733565,11.132693805832277
Split3,7.407438634037961,5.947031359454105,8.201770700357809,5.3404227527960035,12.987147433765351,8.612364938541406,8.611388323276378,4.468318566066573,4.783329042847037,19.747771853025046,13.893016395832337
Split4,4.552605546052647,7.473565384638917,9.59082347635726,6.327765038731127,13.489116452887773,8.67842092750351,8.501228062501214,6.266108522877868,4.833483842543125,12.594696202262265,17.692186543644315
Split5,5.900715203053446,7.373473235564984,9.964646391952094,5.653484059117717,15.72719030058742,11.680613307260371,8.515582329366834,4.926883549069586,5.279351424819754,16.876413975351145,8.101646223856644
