,K_Numeric,Min_Numeric,C_Numeric,C_Cnumeric,S_Numeric,SC_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,MaxD_Numeric,System_Numeric,Phylum_Numeric
Split1,3.640280200064444,2.8870919241328306,3.3068140810294238,5.7970333524481665,5.880074737226567,7.086387821577301,2.5585271407606327,3.5248161812850656,7.663696156700878,2.7805453116220584,24.862830114789716,9.162899725205728,7.742337159400263,3.4595949651538027,9.647071128603137
Split2,5.091405753472141,11.292294264093563,2.061715001194215,4.296768331904813,2.589686501794387,5.447734255937286,4.284963425488705,4.154879886974531,7.890659111589471,3.3686317536327586,19.239821899397782,5.5398191502157825,9.505307298912529,5.139361732472918,10.09695163291912
Split3,2.8254478866114137,3.968329947819022,4.358527821538773,3.2385980509962926,3.922165228562592,4.158277481753439,5.16530347217093,7.273039222195783,7.314148107099676,2.332419557430658,20.16016173737373,8.890559590093792,9.07020287729491,7.571192458008273,9.751626561050731
Split4,2.768542238908129,10.882776280282235,2.4257242587263623,5.182698065802574,3.7066954402004137,5.2966586825886806,1.617233183815115,9.217395567549033,5.673379986199304,4.481218305428932,23.05665422290169,7.029316090662547,7.0218209165483,3.0835491513195254,8.556337609067164
Split5,7.540877147596954,5.956887305318784,2.9298105217245327,2.9360429791846885,10.015725931525896,1.904494681764573,2.033284337261244,2.7622708028129206,4.043193113925287,2.741267060717346,31.674378622169918,6.9123127336383785,5.944280693403916,3.873847851177222,8.731326217778346
