,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,7.885239877614113,14.809374156665577,7.115354709871947,7.3175706238102265,7.253030376035842,14.291415892640256,6.428862933559666,6.1691775293586515,9.041173809874284,12.948500932913174,6.74029915765621
Split2,6.13354317947178,12.334086069678333,8.743859383214595,7.5242934373415,8.123749383374928,10.238194447942364,7.235080496349044,6.778169393966809,9.857653655985619,15.367158822629907,7.664211730045089
Split3,11.38868252763888,8.80905550202165,8.031172761168333,7.23717166290448,9.77229574021543,10.368382750803246,8.290127773872637,4.995333318870142,9.05023190350611,15.287076613273939,6.770469445725228
Split4,7.074922376495821,10.29149472671805,9.72026152361774,8.94383345020002,8.348555172496992,13.83060268973892,5.739903927461871,7.297620041934849,11.40407858889474,8.982229369158057,8.36649813328294
Split5,7.723742474879248,9.470022180971476,7.419968992780367,7.170446441553418,8.630753173911739,13.684212307555384,10.459693471856605,8.044453015194245,11.12327197070747,11.568460878454331,4.704975092135671
