,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,-0.015430553404986789,-0.290837113386094,0.9687263345162381,-0.5554241938718322,-0.1557638842593229,-0.12037168067981906,-0.20325385072657054,0.30049854885614646,-0.17396929598257505,0.6836957926254588,0.005460905710948687
Split2,-0.4126162914242803,-0.3126190917619709,0.8610498207563517,-0.42593267741937973,-0.2459358050886884,-0.1938273058423742,-0.2527102283591309,0.472522469945545,-0.16710966402165273,0.8450780612611096,0.058446022964351425
Split3,-0.1077143452994549,-0.41013838357813387,0.9708049306479802,-0.5411239984329099,-0.1446750282632353,-0.25546721784559917,-0.1334207151237866,0.23009457503634814,-0.16377090747031056,0.7666907270958065,-0.010080347689501999
Split4,-0.054747313338514625,-0.35969285583191113,1.0808160429389755,-0.6502677498480356,-0.27697268698910155,-0.2520922124358133,-0.2921666730243168,0.5328393544603237,-0.48255540101588934,0.793891255011868,0.032369516223083546
Split5,-0.19212944759102787,-0.29730657891268125,0.8464869938570457,-0.4601793506025641,-0.2707217727162293,-0.21571005386875944,-0.2852464516265211,0.4781524042165765,-0.2839579509952831,0.7467043603638688,0.06629545348158891
