,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,12.949456632108733,13.66050776188882,6.179609106910224,11.14338237160873,8.824680565425783,6.317510239292573,11.331359151605424,6.458805782841019,8.884245805091242,8.998537276478906,5.25190530674854
Split2,12.016754024084353,9.372921629898796,6.685790549509175,9.340189538508174,10.430868306911885,6.770150688924753,11.886061850182442,5.963124096118114,8.717814617465343,10.978281322842376,7.838043375554602
Split3,14.06033447956438,14.444995575503768,7.811070714601951,9.06225411392405,9.199063641366553,7.3136448531668865,9.651988817641799,4.763053581146029,8.5190335466511,11.456364003756713,3.7181966726768025
Split4,12.697002660567025,16.744601350261014,8.368712430687614,9.211109099286661,11.372088840919053,5.882695522740373,10.059203897474827,6.508407938132916,6.085034760291029,9.2275191427144,3.8436243569252753
Split5,13.880468756566138,11.867120065224531,7.951109250133329,14.54095019204061,8.206214919821125,5.754479491805177,9.753888587095991,6.217822662133376,9.08088709180023,8.698141625781599,4.048917357597997
