,K_Numeric,Min_Numeric,SC_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,System_Numeric,Phylum_Numeric
Split1,5.748400827488281,6.014683765626775,20.902847670329518,7.478450336049114,4.380847211450169,9.222044739766547,4.53700219887953,14.693932757785493,19.9856633809391,7.036127111685476
Split2,5.471093528153047,5.185685150152373,17.96220411507659,8.72371635659452,5.011273921504869,10.179073004418763,5.714549809663677,15.215103402692625,22.19382874105988,4.343471970683649
Split3,5.516364025046952,7.457170496370569,17.444255824502427,8.195865357382537,3.2886166139839994,9.335910802599004,4.095527130171304,20.15479268799321,19.932011457939673,4.579485604010309
Split4,6.0041444380355555,6.780389849422942,17.77491799652254,7.874136491669061,5.462729390777192,7.361757581851893,3.33475155212577,16.153349308386346,23.34230862719313,5.911514764015561
Split5,6.463109150052597,4.59015440695516,14.028889158460137,8.608013518846564,7.22549364549738,8.781637196385057,4.1608772328435695,19.862211379788253,20.89164579447553,5.387968516695756
