,K_Numeric,Min_Numeric,C_Numeric,C_Cnumeric,S_Numeric,SC_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,MaxD_Numeric,System_Numeric,Phylum_Numeric
Split1,5.210442847341672,2.8545644855824523,4.198757468321072,4.406846994963125,2.0104598269424825,9.900865729454383,3.2184777367965505,19.81515673620305,16.964210997884386,3.722005568213486,9.139323707471453,11.747360233357915,4.5306886266921875,1.961445501753446,0.3193935390223219
Split2,2.6550901109579543,2.698944843424178,3.0714245381285776,5.950381231244199,4.022127995910266,8.813308039959484,6.904276219517956,7.106303546735841,15.49363142835164,3.2846897937539548,3.22427182710331,19.332402598034154,5.626846429234675,7.68161114040052,4.134690257243298
Split3,5.243067725912374,3.974068431984786,5.913371155053627,5.688393568150345,4.907525888017695,9.390460760949477,5.605894069354872,5.083131349511383,3.4933421781271274,2.6541581130266567,2.8008942069841525,23.184072573032136,7.201168569462807,7.80505309034145,7.0553983200911246
Split4,2.5883157081325208,4.754494940135218,8.427462991517752,4.749728423106729,3.2161569613666243,8.720198905635975,5.598875872822116,11.876549947463367,11.370189376293888,7.782368445268749,3.5885295940329556,13.470667301113991,4.592071437872837,6.28918117619879,2.9752089190384785
Split5,3.693308591178134,4.997662193326485,2.7685656341337186,5.096130404296017,4.9554011166131495,11.654654561392771,3.6274918134754834,9.327945282926507,5.842333251548096,4.733105913352374,3.131120780585218,9.483355067104151,8.44419197750874,13.736580658544053,8.508152754015098
