,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,10.273308901278991,16.7050919068073,7.062328873907021,12.956545755704916,10.288391819356981,4.746035838250191,15.261974814294257,3.121456180604583,8.177614822043902,7.636532716798586,3.770718370953271
Split2,14.161481935208966,17.08977141066698,6.432692065916629,9.067198943720141,8.08460429406478,6.108302809529409,12.78635490529576,5.2718129722657565,7.476654646977744,8.31010644937576,5.211019566978075
Split3,11.667756517831915,19.463085739317147,3.6036445091478466,7.1618917955924,8.132758994391502,8.137921103380199,13.254580354716328,5.993570972350875,8.715384011212599,9.58218304719433,4.2872229548648475
Split4,14.377406077085908,15.36027465746238,6.019475857528147,10.551748137814515,8.567490536451649,6.574841443513322,10.108897558612657,5.096483829352386,5.703876141099544,9.165540703964233,8.473965057115263
Split5,13.806953926923612,13.303229411788632,5.066053106575487,5.97185026787244,11.182193474127216,6.522453276728762,12.974469017533599,5.230050040993224,7.45315762260146,12.85347056326537,5.636119291590196
