,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,4.9878788100669365,12.624669864390672,9.084213280101778,8.352623178827145,12.808750592729243,6.241155268868293,4.324002930908539,7.252462129227066,7.139992288777652,13.141648630648492,14.042603025454191
Split2,5.598962914697135,7.808270532449554,7.384999410710948,6.924391421618327,11.931501396086462,6.55776280144142,5.803348948497296,8.105332829142556,4.6049277719897574,22.891283646305492,12.389218327061037
Split3,4.96829745322523,11.008832962239172,8.058101444908464,7.698505523529471,13.162188944790323,10.461102911836981,5.767530348431694,3.4705140952657922,3.425907039520336,27.36848517177006,4.610534104482475
Split4,10.487742023697685,8.091031919357004,5.6382265848681135,5.372001902354197,6.738042483425185,7.9887862200572215,4.269916167978619,7.3045412089599635,8.484249168550617,21.66334063379525,13.962121686956133
Split5,4.004734222490279,15.49227465345341,6.975808605314393,7.182269820984525,10.08946237029173,4.766004828054192,6.325822019254773,7.554557919713366,7.427517650362242,20.385062575991252,9.796485334089827
