,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,5.2116798436015435,6.917424520359066,12.949119295434086,9.599554862776365,7.35731944591084,9.788045469723974,5.488619131789722,9.736204358990976,4.99824576264012,20.387701939942612,7.56608536883057
Split2,5.729694726584516,9.278649538319101,11.578325474170038,8.778488451039296,6.370149439156034,8.157909220696283,5.735755954337203,11.34935631246779,6.0043624339569375,20.04627307149807,6.971035377774755
Split3,7.034992282734616,7.2369933482556466,11.039420509256287,8.76654316134214,9.22670941189997,9.16720479918577,5.192387589502204,8.600734903692999,4.528922700978583,20.98705073342052,8.219040559731342
Split4,7.851211512922991,8.363344701222067,13.450808033708292,9.602529316840668,7.440293731135858,9.61138643753658,4.270018559245632,9.739677945672337,5.8165743267375545,18.5819299988459,5.272225436132136
Split5,6.081383095310388,9.956179447435222,10.632646472818843,9.199034453366378,7.678082851603212,8.018695772429316,6.890613518027602,12.200430347423278,5.551558875394023,19.253219696158496,4.538155470033251
