,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,-0.6530790210205183,-0.19871649235913638,-0.3898448306124303,0.1883237065366666,0.1903324434431799,-0.43499981401380117,0.4439282681688127,-0.06749023506172175,0.2027298647859263,0.5559466111247703,0.05766016035527456
Split2,-0.3727615784577994,-0.17907980255648087,-0.4336028857208281,0.7093349418516067,0.31348741362570054,-0.5226679051442068,0.37225669272815304,-0.43516846334308806,-0.07490670183491446,0.7214769518699077,-0.01166486997159482
Split3,-0.742643046855922,-0.07884674620528959,-0.3592219856909695,0.38395532248096936,0.4096456618991828,-0.3190909536784024,0.27096607322276056,-0.3377986894212886,0.06752025786609929,0.7139339956041305,0.018042615662820054
Split4,-0.6266069088242324,-0.18740612987779634,-0.9317886089116653,0.809968079371785,0.22023669390903886,-0.41457843088647245,0.4419029344677961,-0.19057313333949394,0.2339272797296785,0.46776836775843544,0.02327079753417365
Split5,-0.47851983420052613,-0.1231557867846645,-0.37707432167477434,0.5599018473924225,0.40151705331574705,-0.5311583618974117,0.4086871991471193,-0.47748106313344724,0.19065833387052797,0.5347720697777917,-0.04048270947442042
