,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,10.1529917992993,8.657072179835776,6.615321543206844,9.946754384412566,9.132219662261113,6.574082335363202,8.292185384343352,6.61710908625986,5.574241833042879,22.424250857521283,6.013770934453799
Split2,6.745873761346156,6.162763790894147,8.137872160000175,7.908741796436518,6.7064801933877245,5.643295557793527,6.317542741389216,9.260752314291452,7.678354969911328,22.57547851169484,12.86284420285492
Split3,6.231584359814055,12.36570331274439,7.165027330086286,8.126326973796724,8.406105460591684,8.773483776288176,5.087327847401014,4.777135183528409,6.207953028784972,24.256359721550098,8.602993005414323
Split4,6.382547013768059,8.633217870792638,7.986930734128607,10.704542637159237,13.641147782596045,5.533505576954544,5.555833492498263,7.85167457023761,7.408842172086462,20.009262785486435,6.292495364292142
Split5,8.751883954017188,8.625600585217393,8.27625562079961,8.384777020538554,14.433459849715122,5.070439077830104,4.692357712175128,9.200023759255242,4.6797981371962685,16.662464002297433,11.222940280958044
