,K_Numeric,Min_Numeric,C_Numeric,C_Cnumeric,S_Numeric,SC_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,MaxD_Numeric,System_Numeric,Phylum_Numeric
Split1,7.5984043952261535,6.637380484336199,6.534970671748627,2.6724258501003786,9.099895252390402,6.607524276056738,4.694418350544289,4.999660666868281,4.904800671887781,4.846108388853239,12.26832965455878,10.597136313222414,5.516372146358087,6.94436152681762,6.078211351031022
Split2,6.9281449608484005,7.757953493034751,8.119804915976836,5.149813416379787,3.0566021421930714,8.189245004424968,3.917794327204875,7.982300599891748,5.734311728048525,5.666349957108862,6.735109616386918,8.908392348100072,4.649133785149693,4.8430427454204725,12.362000959831022
Split3,3.8491946073570085,5.923426083046484,5.239229249833489,2.158930848916491,5.870090409371697,6.062813982587123,10.074795419430886,6.382756776611203,5.1692317126512135,4.592939425327269,5.895762525647964,13.399314874316683,9.847383236224646,5.32250367104495,10.211627177632892
Split4,5.036718364455654,9.942076613084346,5.44729254562198,2.563214207100703,8.545595930925028,3.968150574110415,7.694685611710968,9.111338662599803,6.205210692512326,6.056291146966076,6.32210849283365,8.20899297891484,8.771670917101282,4.90808734161816,7.218565920444788
Split5,4.094784152219341,10.255188983233154,4.266080342125375,3.0982324761987714,6.357423078767893,4.4055959016475,4.783292887973704,7.5901387905369555,8.269101551230587,7.677933336025234,8.987063168874517,8.018577479897559,4.926225063392588,7.905868926770839,9.364493861105993
