,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,4.560846006185357,9.541803377370183,12.544666332599025,5.925248990764404,12.12148233264415,6.298710617751316,6.120168424455439,2.7266849180340524,3.8932508610263468,25.122382951605616,11.144755187564105
Split2,4.180678210675377,10.281208605227167,9.931008227271827,6.529994982425326,11.123224420364718,4.344153534617393,4.700319309540405,2.334522754707126,4.002455049526664,31.817244416303065,10.755190489340922
Split3,4.701568407713789,10.174145792871116,8.750491444520144,5.28061985392078,11.41376795809654,5.214798012958969,5.126655095475209,3.744978415778216,3.0046889625250195,32.38280074626015,10.205485309880077
Split4,3.236910275239261,9.568574061270164,11.732634770562775,5.5513156880601295,12.765931475616943,5.503152810761964,3.6889609150310636,2.6977425207477315,5.877711931955313,30.74003453978818,8.637031010966469
Split5,5.4212821966822,8.7391859730245,11.07586587253397,5.877556608720655,9.507160409397061,5.286617478888775,4.676461023953129,3.495027076256706,3.523279776778279,27.43302727941771,14.964536304347032
