,K_Numeric,Min_Numeric,C_Numeric,C_Cnumeric,S_Numeric,SC_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,MaxD_Numeric,System_Numeric,Phylum_Numeric
Split1,4.750950951970265,6.4491608428872045,6.6497341070703335,4.291660092094068,5.439696024208104,2.615827277859147,5.593761261713483,19.65088564607094,8.109246972076726,4.365772876402306,5.757335159085353,3.6375256892822914,10.66785904415157,5.803030121221418,6.21755393390678
Split2,5.444250901943675,3.5451046371726185,4.192891472718188,2.41348194674824,3.287205557292784,2.058984573239359,8.194660478356177,20.152133233191595,14.511750357869277,6.419583088775697,6.93592852702478,1.597775488444742,14.865038423989759,4.731909433447222,1.6493018797858774
Split3,6.419658821972245,6.2123954914738615,7.367134803654967,2.110006309151214,3.789943031284653,3.1305305956995424,6.389557459691643,14.70946947775618,6.792227302105122,5.538942946274618,6.165161733858535,4.1907285525522395,19.720044661548584,5.341630446627986,2.122568366348589
Split4,8.604620664649431,5.852224065912259,9.924942488489656,1.7251422035651651,2.314148978099071,2.4638330620878635,7.277922892684893,19.762079205410345,6.420000513007511,3.056884178844186,6.278989403732494,3.4424687280169493,15.17198465170819,5.427533386219883,2.277225577572107
Split5,4.884332505235445,3.5490973789534794,3.4904154355222845,2.194921913860829,6.209851169986476,2.41223543762086,5.0185203027120036,18.7048582722378,11.08122163888747,7.888389345186679,3.9858393804325245,2.5445839982276808,21.249550197355898,3.5502147637252373,3.2359682600553454
