,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,7.852485836676561,13.133961022590007,8.592904551189894,7.9879622074221155,11.436100714169594,5.521178629654491,10.417397254659704,3.881572939129023,3.626050656710494,16.085142892645337,11.465243295152767
Split2,7.322902139950381,10.071893083154599,7.299363320577526,8.219616914937996,10.935710067483036,6.198002537256724,9.905560999339311,3.8399712677056526,5.895314022832636,18.22069379253208,12.09097185423006
Split3,9.64241124906082,11.799496417339943,8.65679078859511,7.47686714951179,12.138662729797485,6.348988420026769,8.066458928260928,4.330313104626084,3.5896713261366675,14.441134675763648,13.509205210880742
Split4,9.01510800968505,12.964254529841515,8.482054641704623,6.811712891884457,12.26092940580982,5.172754299092171,8.429535553860026,3.871637337549949,5.03349493233507,15.908201933142092,12.050316465095232
Split5,8.32437614913138,10.883727845744993,9.63566895791871,8.720890023240045,10.256741064299677,6.547305290230282,8.8250632282648,3.239349042080157,5.035630613051288,15.536900553256485,12.994347232782186
