,K_Numeric,Min_Numeric,C_Numeric,S_Numeric,O_Numeric,T_Numeric,M_Numeric,R_Numeric,Re_Numeric,MinD_Numeric,Phylum_Numeric
Split1,4.015854866271962,7.9256243651549845,12.432162152436652,8.121361311459859,9.755936496075906,6.098966722746077,5.6800234999602335,8.275810507545563,3.853214458511231,25.69605382438133,8.144991795456209
Split2,4.075638291566767,8.070189998589264,12.558922998572896,6.237153820881339,8.703455685580014,6.758775711236168,5.809378832139123,9.522575023166114,3.613504583180328,25.8389742662314,8.81143078885658
Split3,3.8397806019880925,8.90562687357767,13.023170704343881,7.714933104483245,11.283360544601896,6.6693784243447585,5.383391180444155,7.350456415428104,3.5931006357531237,24.03486085735145,8.201940657683629
Split4,3.440162382658634,9.504919004168727,14.108954432885726,7.390546637520569,10.599844955838023,5.36616061219907,6.046121365575492,8.747257938257201,4.568846619192099,23.19163300434291,7.0355530473615575
Split5,4.070932311228838,8.53472948918824,12.595192214474974,7.73186391430781,9.879687631813248,6.48713598294152,5.546562127488673,9.113059787677047,4.2754590062466,24.099008998096025,7.666368536537031
