"","extinct","occurrences","NoSpecies","K_Numeric","Min_Numeric","C_Numeric","C_Cnumeric","S_Numeric","SC_Numeric","O_Numeric","T_Numeric","M_Numeric","R_Numeric","Re_Numeric","Phylum","MinD_Numeric","MaxD_Numeric","System_Numeric"
"Spirorbis",0,14,2,3,1,2,0.2,2,0.25,1,2,5,4,1,"Annelida",2,2,1
"Polycope",0,19,6,2,3,2,0.16,2,0.2,1,2,2,3,3,"Arthropoda",2,4,3
"Discoidella",1,7,1,2,3,2,0.24,2,0.3,2,2,2,3,3,"Arthropoda",4,4,3
"Amphissites",1,6,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Cyathus",1,83,6,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,2
"Hollinella",0,62,11,2,3,2,0.62,2,0.77,1,2,2,3,3,"Arthropoda",1,4,2
"Kirkbya",1,10,6,2,3,2,0.28,2,0.35,2,2,2,3,3,"Arthropoda",2,4,3
"Knightina",0,12,5,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Reviya",0,5,2,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Shleesha",1,10,4,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Oliganisus",1,5,2,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Knoxiella",0,31,7,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,2,2
"Langdaia",0,17,3,2,3,2,0.51,2,0.63,1,2,2,3,3,"Arthropoda",1,2,2
"Paraparchites",1,97,8,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,2
"Samarella",1,42,3,2,3,2,0.4,2,0.5,1,2,2,3,3,"Arthropoda",2,2,1
"Shemonaella",1,3,1,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Macronotella",1,2,2,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",4,4,3
"Cavellina",1,32,6,2,3,2,0.55,2,0.69,1,3,2,3,3,"Arthropoda",2,4,3
"Sulcella",1,6,4,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Acratia",0,107,16,2,3,2,0.23,2,0.28,1,2,2,3,3,"Arthropoda",1,4,2
"Liuzhinia",0,25,7,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Bairdia",0,656,103,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Ceratobairdia",1,16,5,2,3,2,0.44,2,0.55,2,2,2,3,3,"Arthropoda",2,4,2
"Petasobairdia",0,89,12,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Pseudobythocypris",1,30,7,2,3,2,0.34,2,0.42,1,2,2,3,3,"Arthropoda",2,4,3
"Silenites",0,91,13,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,2
"Macrocypris",0,15,5,2,3,2,0.32,2,0.4,1,2,2,3,3,"Arthropoda",1,2,2
"Spinomicrocheilinella",1,20,7,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",4,4,3
"Microcheilinella",0,210,19,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Paracypris",0,29,8,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Spinocypris",0,5,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Bairdiacypris",0,234,28,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Fabalicypris",0,57,11,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Kempfina",1,5,2,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Orthobairdia",0,53,9,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Baschkirina",0,31,3,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
