"","extinct","occurrences","NoSpecies","K_Numeric","Min_Numeric","C_Numeric","C_Cnumeric","S_Numeric","SC_Numeric","O_Numeric","T_Numeric","M_Numeric","R_Numeric","Re_Numeric","Phylum","MinD_Numeric","MaxD_Numeric","System_Numeric"
"Spirorbis",0,14,2,3,1,2,0.2,2,0.25,1,2,5,4,1,"Annelida",2,2,1
"Cyathus",0,83,6,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,2
"Hollinella",0,62,11,2,3,2,0.62,2,0.77,1,2,2,3,3,"Arthropoda",1,4,2
"Kirkbya",0,10,6,2,3,2,0.28,2,0.35,2,2,2,3,3,"Arthropoda",2,4,3
"Reviya",0,5,2,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,1
"Knoxiella",0,31,7,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,2,2
"Paraparchites",0,97,8,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,2
"Samarella",0,42,3,2,3,2,0.4,2,0.5,1,2,2,3,3,"Arthropoda",2,2,1
"Cavellina",0,32,6,2,3,2,0.55,2,0.69,1,3,2,3,3,"Arthropoda",2,4,3
"Sulcella",0,6,4,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Acratia",0,107,16,2,3,2,0.23,2,0.28,1,2,2,3,3,"Arthropoda",1,4,2
"Bairdia",0,656,103,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Ceratobairdia",0,16,5,2,3,2,0.44,2,0.55,2,2,2,3,3,"Arthropoda",2,4,2
"Petasobairdia",0,89,12,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Silenites",0,91,13,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,2
"Microcheilinella",0,210,19,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Bairdiacypris",0,234,28,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,4,3
"Bairdioidea",0,2,1,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",2,2,1
"Fabalicypris",0,57,11,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,4,3
"Basslerella",0,140,8,2,3,2,0.28,2,0.35,1,2,2,3,3,"Arthropoda",1,2,2
"Pseudophillipsia",0,26,8,2,3,4,17.89,4,29.82,1,2,2,3,3,"Arthropoda",1,2,2
"Schizopleuronia",1,2,1,2,3,4,17.89,4,29.82,2,2,5,4,1,"Brachiopoda",5,0,1
"Lingulodiscina",1,2,1,3,5,1,0,1,0,1,2,3,4,1,"Brachiopoda",1,1,2
"Orbiculoidea",0,47,10,3,5,1,0,1,0,1,2,5,4,1,"Brachiopoda",1,4,2
"Lingularia",0,147,12,3,5,1,0,1,0,1,4,3,4,1,"Brachiopoda",1,4,2
"Araxathyris",0,96,16,1,3,4,15.52,4,16.34,1,2,5,4,1,"Brachiopoda",1,4,2
"Athyris",0,26,5,1,3,4,18.52,4,19.49,1,2,5,4,1,"Brachiopoda",1,4,2
"Cleiothyridina",0,33,9,1,3,4,36.26,4,38.17,2,2,5,4,1,"Brachiopoda",2,4,3
"Composita",0,9,4,1,3,4,24.22,4,25.5,2,2,5,4,1,"Brachiopoda",2,2,1
"Gruntea",0,18,1,1,3,3,7.88,3,8.3,2,2,5,4,1,"Brachiopoda",2,2,1
"Juxathyris",0,100,14,1,3,4,13.29,4,13.99,1,2,5,4,1,"Brachiopoda",1,4,2
"Rectambitus",0,5,3,1,3,4,18.02,4,18.97,1,2,5,4,1,"Brachiopoda",2,2,1
"Spirigerella2",0,18,7,1,3,3,7.88,3,8.3,2,2,5,4,1,"Brachiopoda",2,2,1
"Transcaucasathyris",0,50,3,1,3,4,12.02,4,12.65,1,2,5,4,1,"Brachiopoda",1,4,2
"Hustedia",0,37,7,1,3,4,10.6,4,11.16,3,2,5,4,1,"Brachiopoda",1,4,2
"Enteletes",0,56,13,1,3,4,18.74,4,19.73,3,2,5,4,1,"Brachiopoda",1,2,2
"Enteletina",0,2,1,1,3,4,31.74,4,33.41,3,2,5,4,1,"Brachiopoda",2,2,1
"Peltichia1",0,38,3,1,3,4,26.87,4,28.28,1,2,5,4,1,"Brachiopoda",1,2,2
"Peltichia3",0,24,1,1,3,4,31.74,4,33.41,3,2,5,4,1,"Brachiopoda",1,2,2
"Acosarina1",0,5,1,1,3,4,12.31,4,12.96,1,2,5,4,1,"Brachiopoda",2,4,1
"Acosarina2",0,174,4,1,3,3,8.49,3,8.94,2,2,5,4,1,"Brachiopoda",1,4,3
"Orthotichia1",1,9,7,1,3,3,9.87,4,10.39,1,2,5,4,1,"Brachiopoda",1,2,2
"Orthotichia2",0,19,1,1,3,3,9.87,4,10.39,2,2,5,4,1,"Brachiopoda",2,4,3
"Terebratuloidea",0,19,7,1,3,3,9.73,4,10.25,3,2,5,4,1,"Brachiopoda",1,2,2
"Prelissorhynchia1",0,8,3,1,3,3,4.65,3,4.9,1,2,5,4,1,"Brachiopoda",2,4,1
"Prelissorhynchia3",0,168,2,1,3,3,6.35,3,6.69,3,2,5,4,1,"Brachiopoda",1,4,3
"Wellerellina",0,8,1,1,3,3,8.59,3,9.04,2,2,5,4,1,"Brachiopoda",1,2,1
"Camarophorinella",0,2,2,1,3,3,8.38,3,8.82,2,2,5,4,1,"Brachiopoda",5,0,2
"Cyrolexis2",0,24,4,1,3,4,10.96,4,11.53,2,2,5,4,1,"Brachiopoda",1,2,2
"Neopsilocamara",0,4,1,1,3,4,10.96,4,11.53,2,2,5,4,1,"Brachiopoda",2,2,1
"Rhynchopora",0,2,2,1,3,3,9.01,3,9.49,2,2,5,4,1,"Brachiopoda",5,0,0
"Stenoscisma",0,19,9,1,3,4,23.75,4,25,3,2,5,4,1,"Brachiopoda",1,2,2
"Anchorhynchia",0,37,4,1,3,4,11.45,4,12.05,2,2,5,4,1,"Brachiopoda",1,2,2
"Uncinunellina",0,90,6,1,3,4,16.12,4,16.97,3,2,5,4,1,"Brachiopoda",1,4,2
"Attenuatella1",0,23,2,1,3,4,30.04,4,31.62,1,2,5,4,1,"Brachiopoda",2,4,3
"Attenuatella2",0,2,2,1,3,4,42.65,4,44.9,2,2,5,4,1,"Brachiopoda",4,4,3
"Crurithyris",0,105,15,1,3,3,4.94,3,5.2,2,2,5,4,1,"Brachiopoda",2,4,3
"Orbicoelia1",0,61,3,1,3,3,8.1,3,8.53,1,2,5,4,1,"Brachiopoda",1,4,2
"Orbicoelia2",0,138,8,1,3,3,8.55,3,9,2,2,5,4,1,"Brachiopoda",1,4,3
"Alphaneospirifer",0,13,4,1,3,4,12.7,4,13.37,1,2,5,4,1,"Brachiopoda",1,2,2
"Permophricodothyris1",0,135,8,1,3,4,26.84,4,28.25,1,2,5,4,1,"Brachiopoda",1,4,2
"Permophricodothyris2",0,26,2,1,3,4,26.84,4,28.25,2,2,5,4,1,"Brachiopoda",1,4,2
"Permophricodothyris3",0,24,2,1,3,4,26.84,4,28.25,3,2,5,4,1,"Brachiopoda",1,4,2
"Phricodothyris3",0,34,6,1,3,3,9.87,4,10.39,3,2,5,4,1,"Brachiopoda",1,4,2
"Squamularia",0,13,5,1,3,4,36.61,4,38.54,3,2,5,4,1,"Brachiopoda",1,2,2
"Martinia1",0,11,3,1,3,4,14.72,4,15.49,1,2,5,4,1,"Brachiopoda",1,4,2
"Martinia2",0,84,19,1,3,4,14.72,4,15.49,2,2,5,4,1,"Brachiopoda",1,4,3
"Callispirina",0,3,2,1,3,4,23.27,4,24.49,3,2,5,4,1,"Brachiopoda",2,2,2
"Spiriferella",0,61,8,1,3,4,32.87,4,34.6,3,2,5,4,1,"Brachiopoda",2,2,2
"Spirifer",0,4,2,1,3,4,42.75,4,45,3,2,5,4,1,"Brachiopoda",1,1,2
"Betaneospirifer",0,14,1,1,3,4,30.41,4,32.02,2,2,5,4,1,"Brachiopoda",2,2,1
"Neospirifer",0,11,5,1,3,4,20.7,4,21.79,2,2,5,4,1,"Brachiopoda",2,2,2
"Quadrospira",0,10,1,1,3,4,60.46,4,63.64,2,2,5,4,1,"Brachiopoda",2,2,1
"Trigonotreta",0,16,2,1,3,4,38.59,4,40.62,2,2,5,4,1,"Brachiopoda",2,2,1
"Paraspiriferina",0,45,3,1,3,4,22.88,4,24.08,3,2,5,4,1,"Brachiopoda",1,2,2
"Punctospirifer",0,12,3,1,3,4,50.02,4,52.65,3,2,5,4,1,"Brachiopoda",2,2,2
"Crenispirifer",0,26,3,1,3,4,12.75,4,13.42,3,2,5,4,1,"Brachiopoda",1,4,2
"Spiriferellina",0,39,11,1,3,4,18.12,4,19.08,3,2,5,4,1,"Brachiopoda",1,2,2
"Dielasma",0,38,7,1,3,4,13.27,4,13.96,1,2,5,4,1,"Brachiopoda",1,4,3
"Hemiptychina",0,11,5,1,3,4,16.45,4,17.32,1,2,5,4,1,"Brachiopoda",2,2,1
"Pseudolabaia",0,8,5,1,3,4,18.4,4,19.36,3,2,5,4,1,"Brachiopoda",2,2,1
"Qinglongia",0,18,9,1,3,4,18.4,4,19.36,3,2,5,4,1,"Brachiopoda",1,2,2
"Labaia",0,3,2,1,3,4,21.77,4,22.91,1,2,5,4,1,"Brachiopoda",1,2,2
